URUN_KODU;TARIH;MIKTAR
URUN-9;2015-09-01;4020
URUN-9;2015-10-01;19100
URUN-9;2015-11-01;3880
URUN-9;2015-12-01;26890
URUN-9;2016-01-01;24400
URUN-9;2016-02-01;30160
URUN-9;2016-03-01;27120
URUN-9;2016-04-01;13940
URUN-9;2016-05-01;22280
URUN-9;2016-06-01;7120
URUN-9;2016-07-01;13905
URUN-9;2016-08-01;6655
URUN-9;2016-09-01;17770
URUN-9;2016-10-01;32080
URUN-9;2016-11-01;32360
URUN-9;2016-12-01;18280
URUN-9;2017-01-01;840
URUN-9;2017-02-01;2000
URUN-9;2017-03-01;9345
URUN-9;2017-04-01;10960
URUN-9;2017-05-01;7680
URUN-9;2017-06-01;3050
URUN-9;2017-07-01;15940
URUN-9;2017-08-01;17560
URUN-9;2017-09-01;24470
URUN-9;2017-10-01;6320
URUN-9;2017-11-01;12220
URUN-9;2017-12-01;5740
URUN-9;2018-01-01;11560
URUN-9;2018-02-01;10960
URUN-9;2018-03-01;6360
URUN-9;2018-04-01;16370
URUN-9;2018-05-01;0
URUN-9;2018-06-01;13760
URUN-9;2018-07-01;6280
URUN-9;2018-08-01;2900
URUN-9;2018-09-01;18550
URUN-9;2018-10-01;13520
URUN-9;2018-11-01;15310
URUN-9;2018-12-01;2960
URUN-10;2017-05-01;8
URUN-10;2017-06-01;0
URUN-10;2017-07-01;3500
URUN-10;2017-08-01;3000
URUN-10;2017-09-01;59875
URUN-10;2017-10-01;9625
URUN-10;2017-11-01;16375
URUN-10;2017-12-01;6250
URUN-10;2018-01-01;0
URUN-10;2018-02-01;70250
URUN-10;2018-03-01;87750
URUN-10;2018-04-01;85500
URUN-10;2018-05-01;93250
URUN-10;2018-06-01;17250
URUN-10;2018-07-01;54000
URUN-10;2018-08-01;33875
URUN-10;2018-09-01;53500
URUN-10;2018-10-01;23500
URUN-10;2018-11-01;84000
URUN-10;2018-12-01;50750
URUN-11;2015-03-01;44715
URUN-11;2015-04-01;34810
URUN-11;2015-05-01;4250
URUN-11;2015-06-01;10000
URUN-11;2015-07-01;32000
URUN-11;2015-08-01;3600
URUN-11;2015-09-01;25750
URUN-11;2015-10-01;24970
URUN-11;2015-11-01;1975
URUN-11;2015-12-01;17840
URUN-11;2016-01-01;38000
URUN-11;2016-02-01;75300
URUN-11;2016-03-01;44250
URUN-11;2016-04-01;81375
URUN-11;2016-05-01;38250
URUN-11;2016-06-01;7890
URUN-11;2016-07-01;66040
URUN-11;2016-08-01;3750
URUN-11;2016-09-01;400
URUN-11;2016-10-01;2600
URUN-11;2016-11-01;1200
URUN-11;2016-12-01;52200
URUN-11;2017-01-01;14250
URUN-11;2017-02-01;8725
URUN-11;2017-03-01;2680
URUN-11;2017-04-01;48250
URUN-11;2017-05-01;530
URUN-11;2017-06-01;24850
URUN-11;2017-07-01;25860
URUN-11;2017-08-01;0
URUN-11;2017-09-01;3250
URUN-11;2017-10-01;22850
URUN-11;2017-11-01;8340
URUN-11;2017-12-01;3490
URUN-11;2018-01-01;36105
URUN-11;2018-02-01;8750
URUN-11;2018-03-01;92740
URUN-11;2018-04-01;34625
URUN-11;2018-05-01;57875
URUN-11;2018-06-01;11240
URUN-11;2018-07-01;59000
URUN-11;2018-08-01;39500
URUN-11;2018-09-01;0
URUN-11;2018-10-01;8350
URUN-11;2018-11-01;27625
URUN-11;2018-12-01;5250
URUN-12;2015-05-01;500
URUN-12;2015-06-01;0
URUN-12;2015-07-01;1000
URUN-12;2015-08-01;0
URUN-12;2015-09-01;500
URUN-12;2015-10-01;0
URUN-12;2015-11-01;0
URUN-12;2015-12-01;1000
URUN-12;2016-01-01;2500
URUN-12;2016-02-01;1000
URUN-12;2016-03-01;500
URUN-12;2016-04-01;0
URUN-12;2016-05-01;1000
URUN-12;2016-06-01;7500
URUN-12;2016-07-01;0
URUN-12;2016-08-01;2000
URUN-12;2016-09-01;500
URUN-12;2016-10-01;500
URUN-12;2016-11-01;0
URUN-12;2016-12-01;5500
URUN-12;2017-01-01;500
URUN-12;2017-02-01;500
URUN-12;2017-03-01;3500
URUN-12;2017-04-01;7500
URUN-12;2017-05-01;0
URUN-12;2017-06-01;0
URUN-12;2017-07-01;8500
URUN-12;2017-08-01;0
URUN-12;2017-09-01;2500
URUN-12;2017-10-01;500
URUN-12;2017-11-01;5500
URUN-12;2017-12-01;0
URUN-12;2018-01-01;3000
URUN-12;2018-02-01;0
URUN-12;2018-03-01;1000
URUN-12;2018-04-01;2000
URUN-12;2018-05-01;0
URUN-12;2018-06-01;1000
URUN-12;2018-07-01;2250
URUN-12;2018-08-01;1750
URUN-12;2018-09-01;0
URUN-12;2018-10-01;0
URUN-12;2018-11-01;3500
URUN-12;2018-12-01;0
URUN-13;2015-06-01;100
URUN-13;2015-07-01;2530
URUN-13;2015-08-01;190
URUN-13;2015-09-01;170
URUN-13;2015-10-01;20
URUN-13;2015-11-01;330
URUN-13;2015-12-01;500
URUN-13;2016-01-01;600
URUN-13;2016-02-01;650
URUN-13;2016-03-01;340
URUN-13;2016-04-01;1080
URUN-13;2016-05-01;360
URUN-13;2016-06-01;50
URUN-13;2016-07-01;2570
URUN-13;2016-08-01;80
URUN-13;2016-09-01;60
URUN-13;2016-10-01;30
URUN-13;2016-11-01;0
URUN-13;2016-12-01;80
URUN-13;2017-01-01;1360
URUN-13;2017-02-01;620
URUN-13;2017-03-01;520
URUN-13;2017-04-01;570
URUN-13;2017-05-01;150
URUN-13;2017-06-01;770
URUN-13;2017-07-01;60
URUN-13;2017-08-01;960
URUN-13;2017-09-01;480
URUN-13;2017-10-01;150
URUN-13;2017-11-01;2320
URUN-13;2017-12-01;1280
URUN-13;2018-01-01;20
URUN-13;2018-02-01;350
URUN-13;2018-03-01;630
URUN-13;2018-04-01;280
URUN-13;2018-05-01;480
URUN-13;2018-06-01;1780
URUN-13;2018-07-01;100
URUN-13;2018-08-01;60
URUN-13;2018-09-01;140
URUN-13;2018-10-01;530
URUN-13;2018-11-01;140
URUN-13;2018-12-01;90
URUN-14;2015-03-01;5724
URUN-14;2015-04-01;7752
URUN-14;2015-05-01;1284
URUN-14;2015-06-01;4188
URUN-14;2015-07-01;5460
URUN-14;2015-08-01;1776
URUN-14;2015-09-01;2712
URUN-14;2015-10-01;3192
URUN-14;2015-11-01;5340
URUN-14;2015-12-01;8496
URUN-14;2016-01-01;15132
URUN-14;2016-02-01;8856
URUN-14;2016-03-01;7680
URUN-14;2016-04-01;16056
URUN-14;2016-05-01;9876
URUN-14;2016-06-01;3804
URUN-14;2016-07-01;3840
URUN-14;2016-08-01;0
URUN-14;2016-09-01;12756
URUN-14;2016-10-01;4500
URUN-14;2016-11-01;24516
URUN-14;2016-12-01;14688
URUN-14;2017-01-01;2448
URUN-14;2017-02-01;4440
URUN-14;2017-03-01;2604
URUN-14;2017-04-01;14964
URUN-14;2017-05-01;12864
URUN-14;2017-06-01;9060
URUN-14;2017-07-01;408
URUN-14;2017-08-01;2280
URUN-14;2017-09-01;300
URUN-14;2017-10-01;4044
URUN-14;2017-11-01;13884
URUN-14;2017-12-01;6684
URUN-14;2018-01-01;636
URUN-14;2018-02-01;1248
URUN-14;2018-03-01;3324
URUN-14;2018-04-01;12168
URUN-14;2018-05-01;6636
URUN-14;2018-06-01;9840
URUN-14;2018-07-01;2808
URUN-14;2018-08-01;1536
URUN-14;2018-09-01;5664
URUN-14;2018-10-01;3084
URUN-14;2018-11-01;4968
URUN-14;2018-12-01;432
URUN-15;2015-03-01;12000
URUN-15;2015-04-01;5800
URUN-15;2015-05-01;6000
URUN-15;2015-06-01;2400
URUN-15;2015-07-01;3800
URUN-15;2015-08-01;3800
URUN-15;2015-09-01;5000
URUN-15;2015-10-01;400
URUN-15;2015-11-01;9800
URUN-15;2015-12-01;13400
URUN-15;2016-01-01;35200
URUN-15;2016-02-01;2400
URUN-15;2016-03-01;14400
URUN-15;2016-04-01;26000
URUN-15;2016-05-01;1000
URUN-15;2016-06-01;7400
URUN-15;2016-07-01;4600
URUN-15;2016-08-01;0
URUN-15;2016-09-01;12000
URUN-15;2016-10-01;14400
URUN-15;2016-11-01;46000
URUN-15;2016-12-01;11200
URUN-15;2017-01-01;12000
URUN-15;2017-02-01;10400
URUN-15;2017-03-01;200
URUN-15;2017-04-01;12400
URUN-15;2017-05-01;23000
URUN-15;2017-06-01;14400
URUN-15;2017-07-01;2600
URUN-15;2017-08-01;2800
URUN-15;2017-09-01;0
URUN-15;2017-10-01;10800
URUN-15;2017-11-01;4200
URUN-15;2017-12-01;13000
URUN-15;2018-01-01;800
URUN-15;2018-02-01;800
URUN-15;2018-03-01;6000
URUN-15;2018-04-01;7000
URUN-15;2018-05-01;17500
URUN-15;2018-06-01;23200
URUN-15;2018-07-01;2400
URUN-15;2018-08-01;3800
URUN-15;2018-09-01;12800
URUN-15;2018-10-01;5800
URUN-15;2018-11-01;6800
URUN-15;2018-12-01;600
URUN-16;2015-03-01;22600
URUN-16;2015-04-01;27000
URUN-16;2015-05-01;15400
URUN-16;2015-06-01;34200
URUN-16;2015-07-01;41400
URUN-16;2015-08-01;25200
URUN-16;2015-09-01;15800
URUN-16;2015-10-01;40800
URUN-16;2015-11-01;16600
URUN-16;2015-12-01;35000
URUN-16;2016-01-01;13200
URUN-16;2016-02-01;66800
URUN-16;2016-03-01;7800
URUN-16;2016-04-01;26200
URUN-16;2016-05-01;11000
URUN-16;2016-06-01;19000
URUN-16;2016-07-01;38400
URUN-16;2016-08-01;23600
URUN-16;2016-09-01;11800
URUN-16;2016-10-01;5760
URUN-16;2016-11-01;60480
URUN-16;2016-12-01;29760
URUN-16;2017-01-01;10800
URUN-16;2017-02-01;13440
URUN-16;2017-03-01;10800
URUN-16;2017-04-01;2640
URUN-16;2017-05-01;38640
URUN-16;2017-06-01;27120
URUN-16;2017-07-01;20400
URUN-16;2017-08-01;14160
URUN-16;2017-09-01;7920
URUN-16;2017-10-01;8160
URUN-16;2017-11-01;31200
URUN-16;2017-12-01;7440
URUN-16;2018-01-01;4080
URUN-16;2018-02-01;3600
URUN-16;2018-03-01;13440
URUN-16;2018-04-01;1200
URUN-16;2018-05-01;20520
URUN-16;2018-06-01;40560
URUN-16;2018-07-01;6240
URUN-16;2018-08-01;3120
URUN-16;2018-09-01;18720
URUN-16;2018-10-01;14640
URUN-16;2018-11-01;19200
URUN-16;2018-12-01;4080
URUN-17;2015-03-01;11580
URUN-17;2015-04-01;11496
URUN-17;2015-05-01;5832
URUN-17;2015-06-01;10440
URUN-17;2015-07-01;11076
URUN-17;2015-08-01;10944
URUN-17;2015-09-01;5004
URUN-17;2015-10-01;11940
